scope,slug_or_code,item,value,party,notes,source_url,asof
state,MI,legislation,"Per Bridge Michigan, the House passed HB 4024 on 2025-09-04 (58-46); it would restrict school and public-college restroom use by transgender students to facilities matching their sex.",,,https://bridgemi.com/michigan-government/michigan-house-republicans-ok-transgender-school-bathroom-ban/,2026-09-20
state,AR,governor,Sarah Huckabee Sanders,Republican,Party per NCSL State Partisan Composition,https://governor.arkansas.gov/ ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,AR,legislature_upper,"Senate: 29 R, 6 D",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,AR,legislature_lower,"House: 79 R, 20 D, 1 vacant",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,AR,legislation,HB 1916 (Act 979 of 2025) adds gender-affirming interventions to the Protecting Minors from Medical Malpractice Act as a right of action for medical malpractice.,,,https://arkleg.state.ar.us/Bills/Detail?id=HB1916&ddBienniumSession=2025%2F2025R,2026-09-20
state,AR,legislation,"On 2025-08-12 the Eighth Circuit, sitting en banc in Brandt v. Griffin (No. 23-2681), reversed the permanent injunction against Act 626, which bars health care professionals from providing gender transition procedures to minors, and remanded the case.",,,https://ecf.ca8.uscourts.gov/opndir/25/08/232681P.pdf,2026-09-20
state,NY,governor,Kathy Hochul,Democratic,Party per NCSL State Partisan Composition,https://www.governor.ny.gov/ ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,NY,legislature_upper,"Senate: 41 D, 22 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,NY,legislature_lower,"Assembly: 103 D, 47 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,NY,legislation,"The enacted state budget includes $1.8 million for LGBTQ+ youth crisis counseling and $500,000 for a statewide LGBTQ+ legal hotline and resource website, per a 2026-06-28 state press release.",,,https://www.governor.ny.gov/news/during-pride-month-governor-hochul-reaffirms-commitment-supporting-new-yorks-lgbtq-community-0,2026-09-20
state,NJ,governor,Mikie Sherrill,Democratic,Party per NCSL State Partisan Composition,https://www.nj.gov/governor/ ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,NJ,legislature_upper,"Senate: 25 D, 15 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,NJ,legislature_lower,"General Assembly: 57 D, 23 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,IL,governor,JB Pritzker,Democratic,Party per NCSL State Partisan Composition,https://gov.illinois.gov/ ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,IL,legislature_upper,"Senate: 40 D, 19 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,IL,legislature_lower,"House: 78 D, 40 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,IL,legislation,"Per CBS News Chicago, Governor Pritzker signed HB 4834, HB 5095 and HB 5492 on 2026-06-28: removing testosterone from the Prescription Monitoring Program, allowing male, female or X gender markers on state IDs and driver's licenses, and requiring insurance coverage of six months of prescribed hormone therapy.",,,https://www.cbsnews.com/chicago/news/illinois-gov-jb-pritzker-bills-lgbtq-illinoisans/,2026-09-20
state,OH,governor,Mike DeWine,Republican,Party per NCSL State Partisan Composition,https://governor.ohio.gov/exchange.aspx ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,OH,legislature_upper,"Senate: 24 R, 9 D",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,OH,legislature_lower,"House: 65 R, 34 D",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,TN,governor,Bill Lee,Republican,Party per NCSL State Partisan Composition,https://www.tn.gov/governor.html ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,TN,legislature_upper,"Senate: 27 R, 6 D",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,TN,legislature_lower,"House: 75 R, 24 D",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,TN,legislation,"HB 754 / SB 676 (Public Chapter 932) requires gender clinics to report gender transition procedure statistics to the Department of Health, requires insurers covering gender transition procedures to cover detransition procedures, and bars counties and municipalities from prohibiting certain mental health therapy for minors on gender-related matters.",,,https://wapp.capitol.tn.gov/apps/BillInfo/Default.aspx?BillNumber=HB0754&GA=114,2026-09-20
state,SC,governor,Henry McMaster,Republican,Party per NCSL State Partisan Composition,https://governor.sc.gov/ ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,SC,legislature_upper,"Senate: 34 R, 12 D",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,SC,legislature_lower,"House: 89 R, 35 D",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,SC,legislation,"H.4756, the Student Physical Privacy Act (Act 152 of 2026, signed 2026-05-15), adds provisions on privacy among sexes in certain facilities in public schools and institutions of higher learning, defines terms, and sets penalties for noncompliance.",,,https://www.scstatehouse.gov/billsearch.php?billnumbers=4756&session=126&summary=B,2026-09-20
state,DC,governor,Muriel Bowser (Mayor of DC),Democratic,Party per Ballotpedia,https://mayor.dc.gov/ ; https://ballotpedia.org/Muriel_Bowser,2026-09-20
state,DC,legislature_upper,"Council of the District of Columbia (13 members): 11 Democratic, 2 Independent",Democratic,Party counts from each member's dccouncil.gov page,https://dccouncil.gov/council/phil-mendelson/ ; https://dccouncil.gov/council/anita-bonds/ ; https://dccouncil.gov/council/councilmember-robert-c-white-jr/ ; https://dccouncil.gov/council/at-large-councilmember-christina-henderson/ ; https://dccouncil.gov/council/elissa-silverman/ ; https://dccouncil.gov/council/brianne-nadeau/ ; https://dccouncil.gov/council/ward-2-councilmember-brooke-pinto/ ; https://dccouncil.gov/council/ward-3-councilmember-matthew-frumin/ ; https://dccouncil.gov/council/ward-4-councilmember-janeese-lewis-george/ ; https://dccouncil.gov/council/ward-5-councilmember-zachary-parker/ ; https://dccouncil.gov/council/councilmember-allen/ ; https://dccouncil.gov/council/ward-7-councilmember-wendell-felder/ ; https://dccouncil.gov/council/councilmember-trayon-white-sr/,2026-09-20
state,DC,legislation,"Mayor Bowser signed the PrEP D.C. Amendment Act on 2026-03-20 (sent to Congress for review), requiring health insurers to cover FDA-approved PrEP drugs, per the Washington Blade.",,,https://www.washingtonblade.com/2026/04/02/muriel-bowser-signs-bill-requiring-insurers-cover-pre/,2026-09-20
state,DC,legislation,"The Council approved the LGBTQ Community Grant Amendment Act of 2026 as part of the FY 2027 budget (final vote 2026-07-07), establishing grant funding through the Mayor's Office of LGBTQ Affairs, per the Washington Blade.",,,https://www.washingtonblade.com/2026/07/22/d-c-council-approves-increased-funding-for-mayors-office-of-lgbtq-affairs/,2026-09-20
